Campaign,StartDate,EndDate,Salon,Đã sử dụng,,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,10 TP,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,103 TN,5,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,1180 QT,3,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,12 LDT,5,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,148 TD,2,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,168 NVC,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,190 HB,4,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,341 XVNT,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,382 NT,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,39 HBT,10,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,483 TN,3,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,50BT4 NPC LD,5,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,575 AC,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,62 LH,2,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,76 PVH,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,927 HG,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5075) Tôi yêu 30Shine_Giảm ngay 30% SP tối đa 100K Q2 2026,2026-03-31,2026-07-02,99 TSN,1,Trải nghiệm Khách hàng,,,,,,,,,,,,,,
(5065) TẶNG ANH ƯU ĐÃI 30K - Ưu đãi riêng cho khách hàng 151 Cầu Giấy,2026-03-24,2026-04-19,109 TQH,4,Salon,,,,,,,,,,,,,,
(5065) TẶNG ANH ƯU ĐÃI 30K - Ưu đãi riêng cho khách hàng 151 Cầu Giấy,2026-03-24,2026-04-19,116 TK,2,Salon,,,,,,,,,,,,,,
(5056) 927 HG - Sáp Teatrea giảm 50%,2026-03-20,2026-03-31,927 HG,7,Clearstock,,,,,,,,,,,,,,
(5057) 236 DBT - Tặng khách TPCN - Nước uống năng lượng không đường Dmaxx Red Energy Formular,2026-03-20,2026-03-31,236 DBT,1,Clearstock,,,,,,,,,,,,,,
(5048) Code 8% Dịch vụ,2026-03-14,2026-04-30,10 TP,2,Xử lý sự cố,,,,,,,,,,,,,,
(5048) Code 8% Dịch vụ,2026-03-14,2026-04-30,109 TQH,2,Xử lý sự cố,,,,,,,,,,,,,,
(5048) Code 8% Dịch vụ,2026-03-14,2026-04-30,264 LLQ,1,Xử lý sự cố,,,,,,,,,,,,,,
(5048) Code 8% Dịch vụ,2026-03-14,2026-04-30,363 LNQ TN,9,Xử lý sự cố,,,,,,,,,,,,,,
(5048) Code 8% Dịch vụ,2026-03-14,2026-04-30,39 HBT,4,Xử lý sự cố,,,,,,,,,,,,,,
(5048) Code 8% Dịch vụ,2026-03-14,2026-04-30,451 PVT,7,Xử lý sự cố,,,,,,,,,,,,,,
(5048) Code 8% Dịch vụ,2026-03-14,2026-04-30,595 BT TH,1,Xử lý sự cố,,,,,,,,,,,,,,
(5049) Code 12% dịch vụ 2026,2026-03-14,2026-04-30,10 TP,1,Xử lý sự cố,,,,,,,,,,,,,,
(5049) Code 12% dịch vụ 2026,2026-03-14,2026-04-30,363 LNQ TN,2,Xử lý sự cố,,,,,,,,,,,,,,
(5049) Code 12% dịch vụ 2026,2026-03-14,2026-04-30,39 HBT,7,Xử lý sự cố,,,,,,,,,,,,,,
(5049) Code 12% dịch vụ 2026,2026-03-14,2026-04-30,595 BT TH,1,Xử lý sự cố,,,,,,,,,,,,,,
(5046) Giảm 50% sản phẩm date 4-9T,2026-03-11,2026-03-31,11 PKT,1,Clearstock,,,,,,,,,,,,,,
(5046) Giảm 50% sản phẩm date 4-9T,2026-03-11,2026-03-31,25 TD,1,Clearstock,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,10 TP,5,CTKM Tháng 3,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,1180 QT,4,CTKM Tháng 3,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,145 THT,2,CTKM Tháng 3,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,190 HB,3,CTKM Tháng 3,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,29 HB,2,CTKM Tháng 3,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,290 QT TH,8,CTKM Tháng 3,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,32 NAT,1,CTKM Tháng 3,,,,,,,,,,,,,,
(5047) Laborie - Combo 2 Dầu gội Laborie bất kỳ giá 421k (Trừ dầu gội tím),2026-03-11,2026-04-30,346 KT,3,CTKM Tháng 3,,,,,,,,,,,,,,
